day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;3.59811e-05;3.59811e-05;5.99695e-05;3.59811e-05;0;0;0;3.59811e-05;3.59811e-05;0;
5;3.16624e-05;6.33258e-05;5.27732e-05;3.16624e-05;0;0;0;3.59811e-05;3.59811e-05;0;
6;2.78623e-05;8.3589e-05;4.64404e-05;2.78623e-05;0;0;0;3.59811e-05;3.59811e-05;0;
7;2.45184e-05;9.80768e-05;4.08676e-05;2.45184e-05;0;0;0;3.59811e-05;3.59811e-05;0;
8;1.29454e-05;9.9253e-05;2.15777e-05;1.29454e-05;0;0;0;3.59811e-05;3.59811e-05;0;
9;2.27835e-05;0.000110126;3.79762e-05;2.27835e-05;0;0;0;3.59811e-05;3.59811e-05;0;
10;3.00734e-05;0.000126984;5.0128e-05;3.00734e-05;0;0;0;3.59811e-05;3.59811e-05;0;
11;3.52852e-05;0.000147031;5.88162e-05;3.52852e-05;0;0;0;3.59811e-05;3.59811e-05;0;
12;2.79449e-05;0.000157333;4.65815e-05;2.79449e-05;0;0;0;3.59811e-05;3.59811e-05;0;
13;2.59569e-05;0.00016441;4.3268e-05;2.59569e-05;0;0;0;3.59811e-05;3.59811e-05;0;
14;2.76499e-05;0.00017233;4.60905e-05;2.76499e-05;0;0;0;3.59811e-05;3.59811e-05;0;
15;3.17361e-05;0.000183387;5.29023e-05;3.17361e-05;0;0;0;3.59811e-05;3.59811e-05;0;
16;3.51878e-05;0.000196568;5.86568e-05;3.51878e-05;0;0;0;3.59811e-05;3.59811e-05;0;
17;3.53876e-05;0.000208368;5.89905e-05;3.53876e-05;0;0;0;3.59811e-05;3.59811e-05;0;
18;3.45997e-05;0.000217963;5.76777e-05;3.45997e-05;0;0;0;3.59811e-05;3.59811e-05;0;
19;3.4252e-05;0.00022606;5.70986e-05;3.4252e-05;0;0;0;3.59811e-05;3.59811e-05;0;
20;3.67713e-05;0.000235704;6.12988e-05;3.67713e-05;0;0;0;3.67713e-05;3.67713e-05;0;
21;3.94889e-05;0.000246908;6.58297e-05;3.94889e-05;0;0;0;3.94889e-05;3.94889e-05;0;
22;4.12316e-05;0.000258511;6.87356e-05;4.12316e-05;0;0;0;4.12316e-05;4.12316e-05;0;
23;4.17585e-05;0.000269248;6.96147e-05;4.17585e-05;0;0;0;4.17585e-05;4.17585e-05;0;
24;4.23838e-05;0.000279322;7.06578e-05;4.23838e-05;0;0;0;4.23838e-05;4.23838e-05;0;
25;4.38684e-05;0.000289672;7.31336e-05;4.38684e-05;0;0;0;4.38684e-05;4.38684e-05;0;
26;4.59717e-05;0.000300883;7.66407e-05;4.59717e-05;0;0;0;4.59717e-05;4.59717e-05;0;
27;4.80869e-05;0.000312864;8.01679e-05;4.80869e-05;0;0;0;4.80869e-05;4.80869e-05;0;
28;4.96297e-05;0.00032495;8.27409e-05;4.96297e-05;0;0;0;4.96297e-05;4.96297e-05;0;
29;5.09351e-05;0.000336891;8.49181e-05;5.09351e-05;0;0;0;5.09351e-05;5.09351e-05;0;
