day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
54;0.000170616;0.402577;0.000475905;0.000170616;0;0;0;0.000170616;0.000170616;0;
55;0.000177709;0.40269;0.000495782;0.000177709;0;0;0;0.000177709;0.000177709;0;
56;0.000185093;0.402808;0.000516482;0.000185093;0;0;0;0.000185093;0.000185093;0;
57;0.000192752;0.402931;0.00053796;0.000192752;0;0;0;0.000192752;0.000192752;0;
58;0.000200698;0.403058;0.000560252;0.000200698;0;0;0;0.000200698;0.000200698;0;
59;0.000208964;0.403191;0.000583451;0.000208964;0;0;0;0.000208964;0.000208964;0;
60;0.000217578;0.403328;0.000607639;0.000217578;0;0;0;0.000217578;0.000217578;0;
61;0.000226551;0.403472;0.000632843;0.000226551;0;0;0;0.000226551;0.000226551;0;
62;0.000235878;0.403621;0.000659057;0.000235878;0;0;0;0.000235878;0.000235878;0;
63;0.000245564;0.403776;0.000686293;0.000245564;0;0;0;0.000245564;0.000245564;0;
64;0.000255626;0.403937;0.000714602;0.000255626;0;0;0;0.000255626;0.000255626;0;
65;0.00026609;0.404105;0.000744056;0.00026609;0;0;0;0.00026609;0.00026609;0;
66;0.000276975;0.404279;0.000774714;0.000276975;0;0;0;0.000276975;0.000276975;0;
67;0.000288293;0.40446;0.000806608;0.000288293;0;0;0;0.000288293;0.000288293;0;
68;0.000300052;0.404649;0.000839763;0.000300052;0;0;0;0.000300052;0.000300052;0;
69;0.000312263;0.404845;0.000874219;0.000312263;0;0;0;0.000312263;0.000312263;0;
70;0.000324948;0.405049;0.000910032;0.000324948;0;0;0;0.000324948;0.000324948;0;
71;0.000338128;0.405261;0.000947269;0.000338128;0;0;0;0.000338128;0.000338128;0;
72;0.000351821;0.405481;0.000985983;0.000351821;0;0;0;0.000351821;0.000351821;0;
73;0.000366041;0.40571;0.00102622;0.000366041;0;0;0;0.000366041;0.000366041;0;
74;0.000380805;0.405948;0.00106802;0.000380805;0;0;0;0.000380805;0.000380805;0;
75;0.000396129;0.406196;0.00111145;0.000396129;0;0;0;0.000396129;0.000396129;0;
76;0.000412034;0.406453;0.00115656;0.000412034;0;0;0;0.000412034;0.000412034;0;
77;0.000428543;0.40672;0.00120342;0.000428543;0;0;0;0.000428543;0.000428543;0;
78;0.000445674;0.406998;0.0012521;0.000445674;0;0;0;0.000445674;0.000445674;0;
79;0.000463445;0.407286;0.00130264;0.000463445;0;0;0;0.000463445;0.000463445;0;
80;0.000481877;0.407586;0.00135511;0.000481877;0;0;0;0.000481877;0.000481877;0;
81;0.000500989;0.407897;0.00140957;0.000500989;0;0;0;0.000500989;0.000500989;0;
82;0.000520804;0.408221;0.0014661;0.000520804;0;0;0;0.000520804;0.000520804;0;
83;0.000541344;0.408556;0.00152475;0.000541344;0;0;0;0.000541344;0.000541344;0;
84;0.00056263;0.408905;0.00158561;0.00056263;0;0;0;0.00056263;0.00056263;0;
85;0.000584683;0.409267;0.00164874;0.000584683;0;0;0;0.000584683;0.000584683;0;
86;0.000607524;0.409643;0.00171421;0.000607524;0;0;0;0.000607524;0.000607524;0;
87;0.000631176;0.410033;0.00178208;0.000631176;0;0;0;0.000631176;0.000631176;0;
88;0.000655662;0.410438;0.00185245;0.000655662;0;0;0;0.000655662;0.000655662;0;
89;0.000681004;0.410858;0.00192537;0.000681004;0;0;0;0.000681004;0.000681004;0;
90;0.000707224;0.411294;0.00200094;0.000707224;0;0;0;0.000707224;0.000707224;0;
91;0.000734343;0.411746;0.00207921;0.000734343;0;0;0;0.000734343;0.000734343;0;
92;0.000762384;0.412214;0.00216027;0.000762384;0;0;0;0.000762384;0.000762384;0;
93;0.000791369;0.4127;0.0022442;0.000791369;0;0;0;0.000791369;0.000791369;0;
94;0.000821319;0.413204;0.00233107;0.000821319;0;0;0;0.000821319;0.000821319;0;
95;0.000852255;0.413726;0.00242096;0.000852255;0;0;0;0.000852255;0.000852255;0;
96;0.000884198;0.414267;0.00251394;0.000884198;0;0;0;0.000884198;0.000884198;0;
97;0.000917168;0.414828;0.0026101;0.000917168;0;0;0;0.000917168;0.000917168;0;
98;0.000951185;0.415408;0.00270951;0.000951185;0;0;0;0.000951185;0.000951185;0;
99;0.000986266;0.41601;0.00281224;0.000986266;0;0;0;0.000986266;0.000986266;0;
100;0.00102243;0.416632;0.00291837;0.00102243;0;0;0;0.00102243;0.00102243;0;
101;0.00105969;0.417276;0.00302797;0.00105969;0;0;0;0.00105969;0.00105969;0;
102;0.00109807;0.417942;0.00314112;0.00109807;0;0;0;0.00109807;0.00109807;0;
103;0.00113758;0.418631;0.00325787;0.00113758;0;0;0;0.00113758;0.00113758;0;
104;0.00117823;0.419343;0.0033783;0.00117823;0;0;0;0.00117823;0.00117823;0;
105;0.00122004;0.42008;0.00350247;0.00122004;0;0;0;0.00122004;0.00122004;0;
106;0.001263;0.420841;0.00363043;0.001263;0;0;0;0.001263;0.001263;0;
107;0.00130714;0.421627;0.00376226;0.00130714;0;0;0;0.00130714;0.00130714;0;
108;0.00135245;0.422439;0.00389798;0.00135245;0;0;0;0.00135245;0.00135245;0;
109;0.00139895;0.423277;0.00403766;0.00139895;0;0;0;0.00139895;0.00139895;0;
110;0.00144662;0.424141;0.00418134;0.00144662;0;0;0;0.00144662;0.00144662;0;
111;0.00149547;0.425033;0.00432905;0.00149547;0;0;0;0.00149547;0.00149547;0;
112;0.0015455;0.425953;0.00448081;0.0015455;0;0;0;0.0015455;0.0015455;0;
113;0.00159669;0.426901;0.00463666;0.00159669;0;0;0;0.00159669;0.00159669;0;
114;0.00164904;0.427877;0.0047966;0.00164904;0;0;0;0.00164904;0.00164904;0;
115;0.00170253;0.428883;0.00496065;0.00170253;0;0;0;0.00170253;0.00170253;0;
116;0.00175714;0.429918;0.0051288;0.00175714;0;0;0;0.00175714;0.00175714;0;
117;0.00181285;0.430983;0.00530103;0.00181285;0;0;0;0.00181285;0.00181285;0;
118;0.00186964;0.432078;0.00547734;0.00186964;0;0;0;0.00186964;0.00186964;0;
119;0.00192748;0.433203;0.00565767;0.00192748;0;0;0;0.00192748;0.00192748;0;
120;0.00198634;0.43436;0.005842;0.00198634;0;0;0;0.00198634;0.00198634;0;
121;0.00204617;0.435547;0.00603027;0.00204617;0;0;0;0.00204617;0.00204617;0;
122;0.00210693;0.436765;0.00622239;0.00210693;0;0;0;0.00210693;0.00210693;0;
123;0.00216858;0.438015;0.00641831;0.00216858;0;0;0;0.00216858;0.00216858;0;
124;0.00223106;0.439295;0.00661791;0.00223106;0;0;0;0.00223106;0.00223106;0;
125;0.00229433;0.440607;0.00682109;0.00229433;0;0;0;0.00229433;0.00229433;0;
126;0.00235831;0.44195;0.00702772;0.00235831;0;0;0;0.00235831;0.00235831;0;
127;0.00242294;0.443325;0.00723766;0.00242294;0;0;0;0.00242294;0.00242294;0;
128;0.00248815;0.44473;0.00745076;0.00248815;0;0;0;0.00248815;0.00248815;0;
129;0.00255386;0.446165;0.00766684;0.00255386;0;0;0;0.00255386;0.00255386;0;
130;0.00262;0.447631;0.00788571;0.00262;0;0;0;0.00262;0.00262;0;
131;0.00268647;0.449127;0.00810717;0.00268647;0;0;0;0.00268647;0.00268647;0;
132;0.00275319;0.450652;0.008331;0.00275319;0;0;0;0.00275319;0.00275319;0;
133;0.00282007;0.452206;0.00855695;0.00282007;0;0;0;0.00282007;0.00282007;0;
134;0.00288699;0.453787;0.00878477;0.00288699;0;0;0;0.00288699;0.00288699;0;
135;0.00295387;0.455397;0.00901419;0.00295387;0;0;0;0.00295387;0.00295387;0;
136;0.0030206;0.457032;0.00924491;0.0030206;0;0;0;0.0030206;0.0030206;0;
137;0.00308706;0.458694;0.00947663;0.00308706;0;0;0;0.00308706;0.00308706;0;
138;0.00315315;0.460379;0.00970903;0.00315315;0;0;0;0.00315315;0.00315315;0;
139;0.00321875;0.462089;0.00994178;0.00321875;0;0;0;0.00321875;0.00321875;0;
140;0.00328374;0.46382;0.0101745;0.00328374;0;0;0;0.00328374;0.00328374;0;
141;0.003348;0.465573;0.0104069;0.003348;0;0;0;0.003348;0.003348;0;
142;0.00341141;0.467345;0.0106385;0.00341141;0;0;0;0.00341141;0.00341141;0;
143;0.00347386;0.469135;0.010869;0.00347386;0;0;0;0.00347386;0.00347386;0;
144;0.00353523;0.470942;0.011098;0.00353523;0;0;0;0.00353523;0.00353523;0;
145;0.00359539;0.472764;0.011325;0.00359539;0;0;0;0.00359539;0.00359539;0;
146;0.00365422;0.474599;0.0115497;0.00365422;0;0;0;0.00365422;0.00365422;0;
147;0.00371161;0.476445;0.0117717;0.00371161;0;0;0;0.00371161;0.00371161;0;
148;0.00376745;0.478302;0.0119904;0.00376745;0;0;0;0.00376745;0.00376745;0;
149;0.00382162;0.480166;0.0122056;0.00382162;0;0;0;0.00382162;0.00382162;0;
150;0.00387402;0.482036;0.0124168;0.00387402;0;0;0;0.00387402;0.00387402;0;
151;0.00392454;0.483909;0.0126236;0.00392454;0;0;0;0.00392454;0.00392454;0;
152;0.0039731;0.485785;0.0128256;0.0039731;0;0;0;0.0039731;0.0039731;0;
153;0.00401958;0.48766;0.0130223;0.00401958;0;0;0;0.00401958;0.00401958;0;
154;0.00406391;0.489532;0.0132134;0.00406391;0;0;0;0.00406391;0.00406391;0;
155;0.00410601;0.4914;0.0133986;0.00410601;0;0;0;0.00410601;0.00410601;0;
156;0.00414581;0.493261;0.0135773;0.00414581;0;0;0;0.00414581;0.00414581;0;
157;0.00418324;0.495112;0.0137494;0.00418324;0;0;0;0.00418324;0.00418324;0;
158;0.00421825;0.496953;0.0139145;0.00421825;0;0;0;0.00421825;0.00421825;0;
159;0.00425077;0.49878;0.0140722;0.00425077;0;0;0;0.00425077;0.00425077;0;
160;0.00428079;0.500591;0.0142223;0.00428079;0;0;0;0.00428079;0.00428079;0;
161;0.00430825;0.502385;0.0143644;0.00430825;0;0;0;0.00430825;0.00430825;0;
162;0.00433315;0.504158;0.0144985;0.00433315;0;0;0;0.00433315;0.00433315;0;
163;0.00435545;0.50591;0.0146242;0.00435545;0;0;0;0.00435545;0.00435545;0;
164;0.00437517;0.507637;0.0147414;0.00437517;0;0;0;0.00437517;0.00437517;0;
165;0.0043923;0.509338;0.01485;0.0043923;0;0;0;0.0043923;0.0043923;0;
166;0.00440686;0.511012;0.0149497;0.00440686;0;0;0;0.00440686;0.00440686;0;
167;0.00441886;0.512655;0.0150405;0.00441886;0;0;0;0.00441886;0.00441886;0;
168;0.00442833;0.514267;0.0151224;0.00442833;0;0;0;0.00442833;0.00442833;0;
169;0.00443531;0.515846;0.0151953;0.00443531;0;0;0;0.00443531;0.00443531;0;
170;0.00443984;0.51739;0.0152591;0.00443984;0;0;0;0.00443984;0.00443984;0;
171;0.00444197;0.518897;0.015314;0.00444197;0;0;0;0.00444197;0.00444197;0;
172;0.00444177;0.520366;0.01536;0.00444177;0;0;0;0.00444197;0.00444197;0;
173;0.00443929;0.521796;0.0153972;0.00443929;0;0;0;0.00444197;0.00444197;0;
174;0.0044346;0.523186;0.0154256;0.0044346;0;0;0;0.00444197;0.00444197;0;
175;0.00442778;0.524534;0.0154454;0.00442778;0;0;0;0.00444197;0.00444197;0;
176;0.0044189;0.52584;0.0154569;0.0044189;0;0;0;0.00444197;0.00444197;0;
177;0.00440806;0.527102;0.0154601;0.00440806;0;0;0;0.00444197;0.00444197;0;
178;0.00439534;0.52832;0.0154553;0.00439534;0;0;0;0.00444197;0.00444197;0;
179;0.00438082;0.529492;0.0154427;0.00438082;0;0;0;0.00444197;0.00444197;0;
180;0.00436459;0.53062;0.0154225;0.00436459;0;0;0;0.00444197;0.00444197;0;
181;0.00434677;0.531701;0.0153951;0.00434677;0;0;0;0.00444197;0.00444197;0;
182;0.00432742;0.532736;0.0153607;0.00432742;0;0;0;0.00444197;0.00444197;0;
183;0.00430667;0.533724;0.0153197;0.00430667;0;0;0;0.00444197;0.00444197;0;
184;0.00428459;0.534666;0.0152722;0.00428459;0;0;0;0.00444197;0.00444197;0;
185;0.00426129;0.53556;0.0152187;0.00426129;0;0;0;0.00444197;0.00444197;0;
186;0.00423686;0.536408;0.0151594;0.00423686;0;0;0;0.00444197;0.00444197;0;
187;0.0042114;0.537209;0.0150947;0.0042114;0;0;0;0.00444197;0.00444197;0;
188;0.004185;0.537964;0.0150249;0.004185;0;0;0;0.00444197;0.00444197;0;
189;0.00415775;0.538673;0.0149503;0.00415775;0;0;0;0.00444197;0.00444197;0;
190;0.00412975;0.539336;0.0148714;0.00412975;0;0;0;0.00444197;0.00444197;0;
191;0.00410108;0.539953;0.0147883;0.00410108;0;0;0;0.00444197;0.00444197;0;
192;0.00407182;0.540526;0.0147016;0.00407182;0;0;0;0.00444197;0.00444197;0;
193;0.00404206;0.541055;0.0146113;0.00404206;0;0;0;0.00444197;0.00444197;0;
194;0.00401187;0.541541;0.014518;0.00401187;0;0;0;0.00444197;0.00444197;0;
195;0.00398135;0.541984;0.0144219;0.00398135;0;0;0;0.00444197;0.00444197;0;
196;0.00395055;0.542384;0.0143233;0.00395055;0;0;0;0.00444197;0.00444197;0;
197;0.00391954;0.542744;0.0142226;0.00391954;0;0;0;0.00444197;0.00444197;0;
198;0.00388841;0.543064;0.0141199;0.00388841;0;0;0;0.00444197;0.00444197;0;
199;0.0038572;0.543345;0.0140157;0.0038572;0;0;0;0.00444197;0.00444197;0;
200;0.00382598;0.543587;0.0139101;0.00382598;0;0;0;0.00444197;0.00444197;0;
201;0.00379481;0.543792;0.0138034;0.00379481;0;0;0;0.00444197;0.00444197;0;
202;0.00376374;0.543961;0.0136959;0.00376374;0;0;0;0.00444197;0.00444197;0;
203;0.00373282;0.544095;0.0135879;0.00373282;0;0;0;0.00444197;0.00444197;0;
