day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;2.71103e-05;2.71103e-05;9.03688e-05;2.71103e-05;0;0;0;2.71103e-05;2.71103e-05;0;
5;2.64319e-05;5.28644e-05;8.81096e-05;2.64319e-05;0;0;0;2.71103e-05;2.71103e-05;0;
6;2.57704e-05;7.73132e-05;8.59068e-05;2.57704e-05;0;0;0;2.71103e-05;2.71103e-05;0;
7;2.51256e-05;0.000100506;8.37592e-05;2.51256e-05;0;0;0;2.71103e-05;2.71103e-05;0;
8;7.34903e-06;0.000105342;2.44993e-05;5.40136e-11;0;0;0;2.71103e-05;2.71103e-05;0;
9;1.43303e-05;0.000117039;4.77729e-05;1.43303e-05;0;0;0;2.71103e-05;2.71103e-05;0;
10;2.09575e-05;0.000135071;6.9867e-05;2.09575e-05;0;0;0;2.71103e-05;2.71103e-05;0;
11;2.72439e-05;0.000158938;9.0826e-05;2.72439e-05;0;0;0;2.72439e-05;2.72439e-05;0;
12;1.99215e-05;0.000174886;6.64157e-05;1.99215e-05;0;0;0;2.72439e-05;2.72439e-05;0;
13;1.6833e-05;0.000187347;5.61198e-05;1.6833e-05;0;0;0;2.72439e-05;2.72439e-05;0;
14;1.57801e-05;0.000198443;5.26104e-05;1.57801e-05;0;0;0;2.72439e-05;2.72439e-05;0;
15;1.66156e-05;0.000210098;5.53963e-05;1.66156e-05;0;0;0;2.72439e-05;2.72439e-05;0;
16;2.15996e-05;0.000226445;7.20141e-05;2.15996e-05;0;0;0;2.72439e-05;2.72439e-05;0;
17;2.21117e-05;0.000242895;7.37226e-05;2.21117e-05;0;0;0;2.72439e-05;2.72439e-05;0;
18;2.07024e-05;0.000257525;6.90249e-05;2.07024e-05;0;0;0;2.72439e-05;2.72439e-05;0;
19;1.80151e-05;0.000269102;6.00658e-05;1.80151e-05;0;0;0;2.72439e-05;2.72439e-05;0;
20;1.85393e-05;0.000280914;6.18146e-05;1.85393e-05;0;0;0;2.72439e-05;2.72439e-05;0;
21;1.99457e-05;0.000293837;6.65046e-05;1.99457e-05;0;0;0;2.72439e-05;2.72439e-05;0;
22;2.11928e-05;0.000307684;7.06636e-05;2.11928e-05;0;0;0;2.72439e-05;2.72439e-05;0;
23;2.14757e-05;0.000321467;7.16079e-05;2.14757e-05;0;0;0;2.72439e-05;2.72439e-05;0;
24;2.0673e-05;0.000334104;6.89321e-05;2.0673e-05;0;0;0;2.72439e-05;2.72439e-05;0;
25;2.0146e-05;0.000345897;6.7176e-05;2.0146e-05;0;0;0;2.72439e-05;2.72439e-05;0;
26;2.03154e-05;0.000357565;6.77416e-05;2.03154e-05;0;0;0;2.72439e-05;2.72439e-05;0;
27;2.12154e-05;0.000369841;7.07434e-05;2.12154e-05;0;0;0;2.72439e-05;2.72439e-05;0;
28;2.17469e-05;0.000382342;7.25165e-05;2.17469e-05;0;0;0;2.72439e-05;2.72439e-05;0;
29;2.17778e-05;0.000394562;7.26206e-05;2.17778e-05;0;0;0;2.72439e-05;2.72439e-05;0;
