day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;4.68439e-05;4.68439e-05;7.80749e-05;4.68439e-05;0;0;0;4.68439e-05;4.68439e-05;0;
5;4.40314e-05;8.80646e-05;7.33904e-05;4.40314e-05;0;0;0;4.68439e-05;4.68439e-05;0;
6;4.13879e-05;0.000124169;6.8987e-05;4.13879e-05;0;0;0;4.68439e-05;4.68439e-05;0;
7;3.89034e-05;0.000155622;6.48478e-05;3.89034e-05;0;0;0;4.68439e-05;4.68439e-05;0;
8;2.19406e-05;0.000168225;3.65733e-05;2.19406e-05;0;0;0;4.68439e-05;4.68439e-05;0;
9;4.12465e-05;0.000199378;6.87564e-05;4.12465e-05;0;0;0;4.68439e-05;4.68439e-05;0;
10;5.81542e-05;0.00024557;9.69446e-05;5.81542e-05;0;0;0;5.81542e-05;5.81542e-05;0;
11;7.28817e-05;0.000303717;0.000121502;7.28817e-05;0;0;0;7.28817e-05;7.28817e-05;0;
12;6.16528e-05;0.000347147;0.000102787;6.16528e-05;0;0;0;7.28817e-05;7.28817e-05;0;
13;6.1168e-05;0.000387486;0.000101983;6.1168e-05;0;0;0;7.28817e-05;7.28817e-05;0;
14;6.95957e-05;0.000433833;0.000116039;6.95957e-05;0;0;0;7.28817e-05;7.28817e-05;0;
15;8.53205e-05;0.000493123;0.000142265;8.53205e-05;0;0;0;8.53205e-05;8.53205e-05;0;
16;0.000101042;0.000564578;0.00016849;0.000101042;0;0;0;0.000101042;0.000101042;0;
17;0.000108534;0.000639237;0.000180995;0.000108534;0;0;0;0.000108534;0.000108534;0;
18;0.000113339;0.000714222;0.000189023;0.000113339;0;0;0;0.000113339;0.000113339;0;
19;0.000119834;0.000791203;0.000199869;0.000119834;0;0;0;0.000119834;0.000119834;0;
20;0.000137399;0.00088113;0.000229184;0.000137399;0;0;0;0.000137399;0.000137399;0;
21;0.000157588;0.00098585;0.000262884;0.000157588;0;0;0;0.000157588;0.000157588;0;
22;0.000175729;0.00110243;0.000293177;0.000175729;0;0;0;0.000175729;0.000175729;0;
23;0.000190069;0.00122635;0.000317138;0.000190069;0;0;0;0.000190069;0.000190069;0;
24;0.000206017;0.00135879;0.000343792;0.000206017;0;0;0;0.000206017;0.000206017;0;
25;0.000227709;0.00150497;0.000380042;0.000227709;0;0;0;0.000227709;0.000227709;0;
26;0.000254819;0.00166949;0.000425351;0.000254819;0;0;0;0.000254819;0.000254819;0;
27;0.000284621;0.00185394;0.000475179;0.000284621;0;0;0;0.000284621;0.000284621;0;
28;0.000313663;0.00205637;0.000523762;0.000313663;0;0;0;0.000313663;0.000313663;0;
29;0.000343714;0.0022767;0.000574059;0.000343714;0;0;0;0.000343714;0.000343714;0;
30;0.000377989;0.00251809;0.000631447;0.000377989;0;0;0;0.000377989;0.000377989;0;
31;0.000418873;0.00278587;0.000699918;0.000418873;0;0;0;0.000418873;0.000418873;0;
32;0.000465016;0.00308374;0.000777233;0.000465016;0;0;0;0.000465016;0.000465016;0;
