day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0.49;0;0;0;0;0;0;0;0;
2;0;0.49;0;0;0;0;0;0;0;0;
3;0;0.49;0;0;0;0;0;0;0;0;
4;2.76521e-05;0.490028;9.03688e-05;2.76521e-05;0;0;0;2.76521e-05;2.76521e-05;0;
5;2.69594e-05;0.490054;8.81096e-05;2.69594e-05;0;0;0;2.76521e-05;2.76521e-05;0;
6;2.62841e-05;0.490079;8.59068e-05;2.62841e-05;0;0;0;2.76521e-05;2.76521e-05;0;
7;2.56258e-05;0.490103;8.37592e-05;2.56258e-05;0;0;0;2.76521e-05;2.76521e-05;0;
8;7.64505e-06;0.490108;2.49889e-05;1.14624e-10;0;0;0;2.76521e-05;2.76521e-05;0;
9;1.49072e-05;0.49012;4.87271e-05;1.49072e-05;0;0;0;2.76521e-05;2.76521e-05;0;
10;2.18006e-05;0.490139;7.12616e-05;2.18006e-05;0;0;0;2.76521e-05;2.76521e-05;0;
11;2.83389e-05;0.490163;9.26378e-05;2.83389e-05;0;0;0;2.83389e-05;2.83389e-05;0;
12;2.07215e-05;0.49018;6.77398e-05;2.07215e-05;0;0;0;2.83389e-05;2.83389e-05;0;
13;1.7589e-05;0.490193;5.75013e-05;1.7589e-05;0;0;0;2.83389e-05;2.83389e-05;0;
14;1.66093e-05;0.490205;5.42997e-05;1.66093e-05;0;0;0;2.83389e-05;2.83389e-05;0;
15;1.76259e-05;0.490217;5.76243e-05;1.76259e-05;0;0;0;2.83389e-05;2.83389e-05;0;
16;2.29123e-05;0.490235;7.49094e-05;2.29123e-05;0;0;0;2.83389e-05;2.83389e-05;0;
17;2.34768e-05;0.490253;7.67577e-05;2.34768e-05;0;0;0;2.83389e-05;2.83389e-05;0;
18;2.20346e-05;0.490268;7.20449e-05;2.20346e-05;0;0;0;2.83389e-05;2.83389e-05;0;
19;1.92766e-05;0.490281;6.3029e-05;1.92766e-05;0;0;0;2.83389e-05;2.83389e-05;0;
20;1.99513e-05;0.490294;6.52366e-05;1.99513e-05;0;0;0;2.83389e-05;2.83389e-05;0;
21;2.15474e-05;0.490308;7.04572e-05;2.15474e-05;0;0;0;2.83389e-05;2.83389e-05;0;
22;2.29495e-05;0.490323;7.50442e-05;2.29495e-05;0;0;0;2.83389e-05;2.83389e-05;0;
23;2.33004e-05;0.490338;7.6194e-05;2.33004e-05;0;0;0;2.83389e-05;2.83389e-05;0;
24;2.25089e-05;0.490353;7.36075e-05;2.25089e-05;0;0;0;2.83389e-05;2.83389e-05;0;
25;2.20372e-05;0.490366;7.20671e-05;2.20372e-05;0;0;0;2.83389e-05;2.83389e-05;0;
26;2.2325e-05;0.490379;7.301e-05;2.2325e-05;0;0;0;2.83389e-05;2.83389e-05;0;
27;2.33911e-05;0.490393;7.64987e-05;2.33911e-05;0;0;0;2.83389e-05;2.83389e-05;0;
28;2.40434e-05;0.490407;7.8634e-05;2.40434e-05;0;0;0;2.83389e-05;2.83389e-05;0;
29;2.41504e-05;0.490421;7.89862e-05;2.41504e-05;0;0;0;2.83389e-05;2.83389e-05;0;
30;2.39842e-05;0.490434;7.84446e-05;2.39842e-05;0;0;0;2.83389e-05;2.83389e-05;0;
31;2.40291e-05;0.490448;7.85934e-05;2.40291e-05;0;0;0;2.83389e-05;2.83389e-05;0;
32;2.44507e-05;0.490461;7.99744e-05;2.44507e-05;0;0;0;2.83389e-05;2.83389e-05;0;
33;2.5009e-05;0.490474;8.18028e-05;2.5009e-05;0;0;0;2.83389e-05;2.83389e-05;0;
34;2.54356e-05;0.490488;8.32002e-05;2.54356e-05;0;0;0;2.83389e-05;2.83389e-05;0;
35;2.55976e-05;0.490501;8.37325e-05;2.55976e-05;0;0;0;2.83389e-05;2.83389e-05;0;
36;2.57093e-05;0.490515;8.40999e-05;2.57093e-05;0;0;0;2.83389e-05;2.83389e-05;0;
37;2.59457e-05;0.490528;8.48753e-05;2.59457e-05;0;0;0;2.83389e-05;2.83389e-05;0;
38;2.63354e-05;0.490541;8.61525e-05;2.63354e-05;0;0;0;2.83389e-05;2.83389e-05;0;
39;2.6749e-05;0.490554;8.75076e-05;2.6749e-05;0;0;0;2.83389e-05;2.83389e-05;0;
40;2.70777e-05;0.490567;8.85854e-05;2.70777e-05;0;0;0;2.83389e-05;2.83389e-05;0;
41;2.73242e-05;0.49058;8.93939e-05;2.73242e-05;0;0;0;2.83389e-05;2.83389e-05;0;
42;2.75656e-05;0.490593;9.0186e-05;2.75656e-05;0;0;0;2.83389e-05;2.83389e-05;0;
43;2.78747e-05;0.490606;9.11997e-05;2.78747e-05;0;0;0;2.83389e-05;2.83389e-05;0;
44;2.8239e-05;0.49062;9.2394e-05;2.8239e-05;0;0;0;2.83389e-05;2.83389e-05;0;
45;2.86033e-05;0.490633;9.35881e-05;2.86033e-05;0;0;0;2.86033e-05;2.86033e-05;0;
46;2.89278e-05;0.490646;9.46522e-05;2.89278e-05;0;0;0;2.89278e-05;2.89278e-05;0;
47;2.92263e-05;0.490659;9.56314e-05;2.92263e-05;0;0;0;2.92263e-05;2.92263e-05;0;
48;2.95359e-05;0.490672;9.66468e-05;2.95359e-05;0;0;0;2.95359e-05;2.95359e-05;0;
49;2.98767e-05;0.490685;9.77647e-05;2.98767e-05;0;0;0;2.98767e-05;2.98767e-05;0;
50;3.02384e-05;0.490698;9.89508e-05;3.02384e-05;0;0;0;3.02384e-05;3.02384e-05;0;
51;3.05963e-05;0.490711;0.000100125;3.05963e-05;0;0;0;3.05963e-05;3.05963e-05;0;
52;3.09398e-05;0.490724;0.000101251;3.09398e-05;0;0;0;3.09398e-05;3.09398e-05;0;
53;3.12779e-05;0.490738;0.00010236;3.12779e-05;0;0;0;3.12779e-05;3.12779e-05;0;
54;3.16264e-05;0.490751;0.000103503;3.16264e-05;0;0;0;3.16264e-05;3.16264e-05;0;
55;3.19905e-05;0.490764;0.000104698;3.19905e-05;0;0;0;3.19905e-05;3.19905e-05;0;
56;3.23631e-05;0.490777;0.00010592;3.23631e-05;0;0;0;3.23631e-05;3.23631e-05;0;
57;3.27346e-05;0.490791;0.000107138;3.27346e-05;0;0;0;3.27346e-05;3.27346e-05;0;
58;3.31027e-05;0.490804;0.000108346;3.31027e-05;0;0;0;3.31027e-05;3.31027e-05;0;
59;3.34729e-05;0.490817;0.00010956;3.34729e-05;0;0;0;3.34729e-05;3.34729e-05;0;
60;3.38508e-05;0.490831;0.0001108;3.38508e-05;0;0;0;3.38508e-05;3.38508e-05;0;
61;3.42375e-05;0.490844;0.000112069;3.42375e-05;0;0;0;3.42375e-05;3.42375e-05;0;
62;3.46292e-05;0.490858;0.000113354;3.46292e-05;0;0;0;3.46292e-05;3.46292e-05;0;
63;3.50224e-05;0.490871;0.000114644;3.50224e-05;0;0;0;3.50224e-05;3.50224e-05;0;
64;3.54171e-05;0.490885;0.000115939;3.54171e-05;0;0;0;3.54171e-05;3.54171e-05;0;
65;3.5816e-05;0.490899;0.000117248;3.5816e-05;0;0;0;3.5816e-05;3.5816e-05;0;
66;3.62211e-05;0.490912;0.000118577;3.62211e-05;0;0;0;3.62211e-05;3.62211e-05;0;
67;3.66323e-05;0.490926;0.000119927;3.66323e-05;0;0;0;3.66323e-05;3.66323e-05;0;
68;3.70478e-05;0.49094;0.00012129;3.70478e-05;0;0;0;3.70478e-05;3.70478e-05;0;
69;3.74664e-05;0.490954;0.000122664;3.74664e-05;0;0;0;3.74664e-05;3.74664e-05;0;
70;3.78887e-05;0.490968;0.00012405;3.78887e-05;0;0;0;3.78887e-05;3.78887e-05;0;
71;3.83158e-05;0.490982;0.000125452;3.83158e-05;0;0;0;3.83158e-05;3.83158e-05;0;
72;3.87484e-05;0.490996;0.000126872;3.87484e-05;0;0;0;3.87484e-05;3.87484e-05;0;
73;3.91862e-05;0.491011;0.000128309;3.91862e-05;0;0;0;3.91862e-05;3.91862e-05;0;
74;3.96285e-05;0.491025;0.000129761;3.96285e-05;0;0;0;3.96285e-05;3.96285e-05;0;
75;4.00751e-05;0.491039;0.000131226;4.00751e-05;0;0;0;4.00751e-05;4.00751e-05;0;
76;4.05261e-05;0.491054;0.000132707;4.05261e-05;0;0;0;4.05261e-05;4.05261e-05;0;
77;4.09822e-05;0.491069;0.000134204;4.09822e-05;0;0;0;4.09822e-05;4.09822e-05;0;
78;4.14436e-05;0.491083;0.000135719;4.14436e-05;0;0;0;4.14436e-05;4.14436e-05;0;
79;4.19101e-05;0.491098;0.000137251;4.19101e-05;0;0;0;4.19101e-05;4.19101e-05;0;
80;4.23815e-05;0.491113;0.000138799;4.23815e-05;0;0;0;4.23815e-05;4.23815e-05;0;
81;4.28577e-05;0.491128;0.000140362;4.28577e-05;0;0;0;4.28577e-05;4.28577e-05;0;
82;4.3339e-05;0.491143;0.000141943;4.3339e-05;0;0;0;4.3339e-05;4.3339e-05;0;
83;4.38256e-05;0.491159;0.00014354;4.38256e-05;0;0;0;4.38256e-05;4.38256e-05;0;
84;4.43175e-05;0.491174;0.000145156;4.43175e-05;0;0;0;4.43175e-05;4.43175e-05;0;
85;4.48147e-05;0.491189;0.000146789;4.48147e-05;0;0;0;4.48147e-05;4.48147e-05;0;
86;4.53171e-05;0.491205;0.000148439;4.53171e-05;0;0;0;4.53171e-05;4.53171e-05;0;
87;4.58248e-05;0.491221;0.000150107;4.58248e-05;0;0;0;4.58248e-05;4.58248e-05;0;
88;4.6338e-05;0.491236;0.000151792;4.6338e-05;0;0;0;4.6338e-05;4.6338e-05;0;
89;4.68567e-05;0.491252;0.000153496;4.68567e-05;0;0;0;4.68567e-05;4.68567e-05;0;
90;4.7381e-05;0.491268;0.000155218;4.7381e-05;0;0;0;4.7381e-05;4.7381e-05;0;
91;4.79108e-05;0.491285;0.000156959;4.79108e-05;0;0;0;4.79108e-05;4.79108e-05;0;
92;4.84462e-05;0.491301;0.000158718;4.84462e-05;0;0;0;4.84462e-05;4.84462e-05;0;
93;4.89874e-05;0.491317;0.000160496;4.89874e-05;0;0;0;4.89874e-05;4.89874e-05;0;
94;4.95342e-05;0.491334;0.000162293;4.95342e-05;0;0;0;4.95342e-05;4.95342e-05;0;
95;5.00869e-05;0.491351;0.000164109;5.00869e-05;0;0;0;5.00869e-05;5.00869e-05;0;
96;5.06455e-05;0.491368;0.000165945;5.06455e-05;0;0;0;5.06455e-05;5.06455e-05;0;
97;5.121e-05;0.491385;0.0001678;5.121e-05;0;0;0;5.121e-05;5.121e-05;0;
