day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;0.000143917;0.000143917;5.99695e-05;0.000143917;0;0;0;0.000143917;0.000143917;0;
5;0.000126632;0.000253279;5.27732e-05;0.000126632;0;0;0;0.000143917;0.000143917;0;
6;0.000111426;0.000334312;4.64404e-05;0.000111426;0;0;0;0.000143917;0.000143917;0;
7;9.80487e-05;0.000392243;4.08676e-05;9.80487e-05;0;0;0;0.000143917;0.000143917;0;
8;0.000207043;0.000552217;8.63064e-05;0.000207043;0;0;0;0.000207043;0.000207043;0;
9;0.000364296;0.000850248;0.00015189;0.000364296;0;0;0;0.000364296;0.000364296;0;
10;0.000480695;0.00122891;0.000200485;0.000480695;0;0;0;0.000480695;0.000480695;0;
11;0.000563782;0.00164522;0.000235226;0.000563782;0;0;0;0.000563782;0.000563782;0;
12;0.000669387;0.00211718;0.000279405;0.000669387;0;0;0;0.000669387;0.000669387;0;
13;0.00100277;0.0028659;0.000418802;0.00100277;0;0;0;0.00100277;0.00100277;0;
14;0.00147541;0.0039974;0.000616743;0.00147541;0;0;0;0.00147541;0.00147541;0;
15;0.00202028;0.00553799;0.000845569;0.00202028;0;0;0;0.00202028;0.00202028;0;
16;0.00255492;0.00742835;0.00107107;0.00255492;0;0;0;0.00255492;0.00255492;0;
17;0.00336334;0.00990029;0.00141289;0.00336334;0;0;0;0.00336334;0.00336334;0;
18;0.00464139;0.0133536;0.00195526;0.00464139;0;0;0;0.00464139;0.00464139;0;
19;0.00645355;0.0182048;0.00272943;0.00645355;0;0;0;0.00645355;0.00645355;0;
20;0.00868538;0.0247056;0.00369333;0.00868538;0;0;0;0.00868538;0.00868538;0;
21;0.0114553;0.0331962;0.00490648;0.0114553;0;0;0;0.0114553;0.0114553;0;
22;0.0151945;0.0444071;0.00657052;0.0151945;0;0;0;0.0151945;0.0151945;0;
23;0.0203763;0.0594546;0.00892565;0.0203763;0;0;0;0.0203763;0.0203763;0;
24;0.0272423;0.0795624;0.0121443;0.0272423;0;0;0;0.0272423;0.0272423;0;
25;0.0358142;0.105829;0.0163471;0.0358142;0;0;0;0.0358142;0.0358142;0;
26;0.0463452;0.139475;0.0218283;0.0463452;0;0;0;0.0463452;0.0463452;0;
27;0.0592924;0.18203;0.0291076;0.0592924;0;0;0;0.0592924;0.0592924;0;
28;0.0748912;0.235078;0.0388282;0.0748912;0;0;0;0.0748912;0.0748912;0;
29;0.0925288;0.299397;0.0515267;0.0925288;0;0;0;0.0925288;0.0925288;0;
30;0.110828;0.374298;0.0676721;0.110828;0;0;0;0.110828;0.110828;0;
31;0.127998;0.457381;0.0877808;0.127998;0;0;0;0.127998;0.127998;0;
32;0.142067;0.544562;0.112362;0.142067;0;0;0;0.142067;0.142067;0;
33;0.151026;0.63024;0.141487;0.151026;0;0;0;0.151026;0.151026;0;
34;0.153556;0.708168;0.174305;0.153556;0;0;0;0.153556;0.153556;0;
35;0.149987;0.773174;0.208825;0.149987;0;0;0;0.153556;0.153556;0;
