day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;0.000187363;0.000187363;7.80749e-05;0.000187363;0;0;0;0.000187363;0.000187363;0;
5;0.000176091;0.000352212;7.33904e-05;0.000176091;0;0;0;0.000187363;0.000187363;0;
6;0.000165501;0.000496581;6.8987e-05;0.000165501;0;0;0;0.000187363;0.000187363;0;
7;0.00015555;0.000622336;6.48478e-05;0.00015555;0;0;0;0.000187363;0.000187363;0;
8;0.000350817;0.000935813;0.000146284;0.000350817;0;0;0;0.000350817;0.000350817;0;
9;0.000659188;0.00153885;0.00027499;0.000659188;0;0;0;0.000659188;0.000659188;0;
10;0.000928735;0.00237526;0.000387705;0.000928735;0;0;0;0.000928735;0.000928735;0;
11;0.00116288;0.00339562;0.000485888;0.00116288;0;0;0;0.00116288;0.00116288;0;
12;0.00147366;0.00466555;0.000616424;0.00147366;0;0;0;0.00147366;0.00147366;0;
13;0.00235519;0.0067408;0.000986759;0.00235519;0;0;0;0.00235519;0.00235519;0;
14;0.00369413;0.0100305;0.00155178;0.00369413;0;0;0;0.00369413;0.00369413;0;
15;0.00538688;0.0148155;0.00227177;0.00538688;0;0;0;0.00538688;0.00538688;0;
16;0.00724514;0.0211717;0.00307218;0.00724514;0;0;0;0.00724514;0.00724514;0;
17;0.010123;0.0300245;0.00432484;0.010123;0;0;0;0.010123;0.010123;0;
18;0.0147799;0.043003;0.00638341;0.0147799;0;0;0;0.0147799;0.0147799;0;
19;0.0216371;0.0620598;0.00949735;0.0216371;0;0;0;0.0216371;0.0216371;0;
20;0.0304521;0.0887883;0.0136858;0.0304521;0;0;0;0.0304521;0.0304521;0;
21;0.0416015;0.125062;0.0193326;0.0416015;0;0;0;0.0416015;0.0416015;0;
22;0.0563718;0.173931;0.0274602;0.0563718;0;0;0;0.0563718;0.0563718;0;
23;0.0756863;0.239181;0.0394221;0.0756863;0;0;0;0.0756863;0.0756863;0;
24;0.0984726;0.323303;0.0564157;0.0984726;0;0;0;0.0984726;0.0984726;0;
25;0.121218;0.425122;0.0793404;0.121218;0;0;0;0.121218;0.121218;0;
26;0.139648;0.539263;0.109583;0.139648;0;0;0;0.139648;0.139648;0;
27;0.149286;0.656193;0.148911;0.149286;0;0;0;0.149286;0.149286;0;
28;0.146468;0.76329;0.198296;0.146468;0;0;0;0.149286;0.149286;0;
29;0.131026;0.848518;0.25568;0.131026;0;0;0;0.149286;0.149286;0;
30;0.108745;0.906353;0.315006;0.108745;0;0;0;0.149286;0.149286;0;
31;0.08782;0.939791;0.366525;0.08782;0;0;0;0.149286;0.149286;0;
32;0.0728772;0.956281;0.398862;0.0728772;0;0;0;0.149286;0.149286;0;
33;0.0636143;0.962519;0.403338;0.0636143;0;0;0;0.149286;0.149286;0;
34;0.0576853;0.962453;0.378916;0.0576853;0;0;0;0.149286;0.149286;0;
35;0.0532175;0.957923;0.333746;0.0532175;0;0;0;0.149286;0.149286;0;
36;0.0494628;0.949911;0.281338;0.0494628;0;0;0;0.149286;0.149286;0;
