day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0.47;0;0;0;0;0;0;0;0;
2;0;0.47;0;0;0;0;0;0;0;0;
3;0;0.47;0;0;0;0;0;0;0;0;
4;2.87365e-05;0.470029;9.03688e-05;2.87365e-05;0;0;0;2.87365e-05;2.87365e-05;0;
5;2.80167e-05;0.470056;8.81096e-05;2.80167e-05;0;0;0;2.87365e-05;2.87365e-05;0;
6;2.73149e-05;0.470082;8.59068e-05;2.73149e-05;0;0;0;2.87365e-05;2.87365e-05;0;
7;2.66308e-05;0.470107;8.37592e-05;2.66308e-05;0;0;0;2.87365e-05;2.87365e-05;0;
8;8.25642e-06;0.470112;2.59689e-05;1.28645e-10;0;0;0;2.87365e-05;2.87365e-05;0;
9;1.60993e-05;0.470125;5.0638e-05;1.60993e-05;0;0;0;2.87365e-05;2.87365e-05;0;
10;2.35439e-05;0.470146;7.40561e-05;2.35439e-05;0;0;0;2.87365e-05;2.87365e-05;0;
11;3.0605e-05;0.470173;9.62706e-05;3.0605e-05;0;0;0;3.0605e-05;3.0605e-05;0;
12;2.23784e-05;0.470191;7.03962e-05;2.23784e-05;0;0;0;3.0605e-05;3.0605e-05;0;
13;1.917e-05;0.470205;6.03052e-05;1.917e-05;0;0;0;3.0605e-05;3.0605e-05;0;
14;1.83627e-05;0.470218;5.77672e-05;1.83627e-05;0;0;0;3.0605e-05;3.0605e-05;0;
15;1.97816e-05;0.470233;6.22323e-05;1.97816e-05;0;0;0;3.0605e-05;3.0605e-05;0;
16;2.57144e-05;0.470253;8.08996e-05;2.57144e-05;0;0;0;3.0605e-05;3.0605e-05;0;
17;2.6398e-05;0.470273;8.30532e-05;2.6398e-05;0;0;0;3.0605e-05;3.0605e-05;0;
18;2.49003e-05;0.470291;7.83439e-05;2.49003e-05;0;0;0;3.0605e-05;3.0605e-05;0;
19;2.2015e-05;0.470306;6.9268e-05;2.2015e-05;0;0;0;3.0605e-05;3.0605e-05;0;
20;2.30412e-05;0.470321;7.24988e-05;2.30412e-05;0;0;0;3.0605e-05;3.0605e-05;0;
21;2.50706e-05;0.470338;7.88867e-05;2.50706e-05;0;0;0;3.0605e-05;3.0605e-05;0;
22;2.68284e-05;0.470356;8.44206e-05;2.68284e-05;0;0;0;3.0605e-05;3.0605e-05;0;
23;2.73453e-05;0.470375;8.60502e-05;2.73453e-05;0;0;0;3.0605e-05;3.0605e-05;0;
24;2.66043e-05;0.470392;8.37212e-05;2.66043e-05;0;0;0;3.0605e-05;3.0605e-05;0;
25;2.62873e-05;0.470409;8.27261e-05;2.62873e-05;0;0;0;3.0605e-05;3.0605e-05;0;
26;2.68716e-05;0.470425;8.45676e-05;2.68716e-05;0;0;0;3.0605e-05;3.0605e-05;0;
27;2.83384e-05;0.470443;8.91865e-05;2.83384e-05;0;0;0;3.0605e-05;3.0605e-05;0;
28;2.92893e-05;0.470461;9.21822e-05;2.92893e-05;0;0;0;3.0605e-05;3.0605e-05;0;
29;2.95987e-05;0.470479;9.31593e-05;2.95987e-05;0;0;0;3.0605e-05;3.0605e-05;0;
30;2.96121e-05;0.470497;9.32044e-05;2.96121e-05;0;0;0;3.0605e-05;3.0605e-05;0;
31;2.99121e-05;0.470514;9.41517e-05;2.99121e-05;0;0;0;3.0605e-05;3.0605e-05;0;
32;3.06698e-05;0.470532;9.65398e-05;3.06698e-05;0;0;0;3.06698e-05;3.06698e-05;0;
33;3.15795e-05;0.47055;9.94068e-05;3.15795e-05;0;0;0;3.15795e-05;3.15795e-05;0;
34;3.23186e-05;0.470569;0.000101737;3.23186e-05;0;0;0;3.23186e-05;3.23186e-05;0;
35;3.27448e-05;0.470588;0.000103082;3.27448e-05;0;0;0;3.27448e-05;3.27448e-05;0;
36;3.31311e-05;0.470606;0.000104302;3.31311e-05;0;0;0;3.31311e-05;3.31311e-05;0;
37;3.36886e-05;0.470624;0.00010606;3.36886e-05;0;0;0;3.36886e-05;3.36886e-05;0;
38;3.44407e-05;0.470643;0.000108432;3.44407e-05;0;0;0;3.44407e-05;3.44407e-05;0;
39;3.52185e-05;0.470662;0.000110885;3.52185e-05;0;0;0;3.52185e-05;3.52185e-05;0;
40;3.5891e-05;0.470682;0.000113006;3.5891e-05;0;0;0;3.5891e-05;3.5891e-05;0;
41;3.64707e-05;0.470701;0.000114836;3.64707e-05;0;0;0;3.64707e-05;3.64707e-05;0;
42;3.706e-05;0.470721;0.000116695;3.706e-05;0;0;0;3.706e-05;3.706e-05;0;
43;3.77471e-05;0.47074;0.000118863;3.77471e-05;0;0;0;3.77471e-05;3.77471e-05;0;
44;3.85098e-05;0.47076;0.000121269;3.85098e-05;0;0;0;3.85098e-05;3.85098e-05;0;
45;3.92751e-05;0.470781;0.000123684;3.92751e-05;0;0;0;3.92751e-05;3.92751e-05;0;
46;3.99952e-05;0.470801;0.000125956;3.99952e-05;0;0;0;3.99952e-05;3.99952e-05;0;
47;4.06926e-05;0.470822;0.000128158;4.06926e-05;0;0;0;4.06926e-05;4.06926e-05;0;
48;4.1417e-05;0.470843;0.000130444;4.1417e-05;0;0;0;4.1417e-05;4.1417e-05;0;
49;4.21924e-05;0.470864;0.000132892;4.21924e-05;0;0;0;4.21924e-05;4.21924e-05;0;
50;4.30022e-05;0.470885;0.000135447;4.30022e-05;0;0;0;4.30022e-05;4.30022e-05;0;
51;4.38135e-05;0.470907;0.000138008;4.38135e-05;0;0;0;4.38135e-05;4.38135e-05;0;
52;4.46145e-05;0.470929;0.000140537;4.46145e-05;0;0;0;4.46145e-05;4.46145e-05;0;
53;4.54194e-05;0.470951;0.000143079;4.54194e-05;0;0;0;4.54194e-05;4.54194e-05;0;
54;4.62496e-05;0.470974;0.0001457;4.62496e-05;0;0;0;4.62496e-05;4.62496e-05;0;
55;4.71109e-05;0.470996;0.000148419;4.71109e-05;0;0;0;4.71109e-05;4.71109e-05;0;
56;4.79924e-05;0.471019;0.000151203;4.79924e-05;0;0;0;4.79924e-05;4.79924e-05;0;
57;4.88817e-05;0.471043;0.000154012;4.88817e-05;0;0;0;4.88817e-05;4.88817e-05;0;
58;4.97768e-05;0.471067;0.000156839;4.97768e-05;0;0;0;4.97768e-05;4.97768e-05;0;
59;5.06861e-05;0.471091;0.000159711;5.06861e-05;0;0;0;5.06861e-05;5.06861e-05;0;
60;5.16178e-05;0.471115;0.000162654;5.16178e-05;0;0;0;5.16178e-05;5.16178e-05;0;
61;5.25724e-05;0.47114;0.000165669;5.25724e-05;0;0;0;5.25724e-05;5.25724e-05;0;
62;5.35444e-05;0.471165;0.000168741;5.35444e-05;0;0;0;5.35444e-05;5.35444e-05;0;
63;5.45296e-05;0.47119;0.000171853;5.45296e-05;0;0;0;5.45296e-05;5.45296e-05;0;
64;5.55286e-05;0.471216;0.00017501;5.55286e-05;0;0;0;5.55286e-05;5.55286e-05;0;
65;5.65458e-05;0.471242;0.000178225;5.65458e-05;0;0;0;5.65458e-05;5.65458e-05;0;
66;5.75841e-05;0.471269;0.000181506;5.75841e-05;0;0;0;5.75841e-05;5.75841e-05;0;
67;5.86431e-05;0.471295;0.000184853;5.86431e-05;0;0;0;5.86431e-05;5.86431e-05;0;
68;5.97204e-05;0.471323;0.000188259;5.97204e-05;0;0;0;5.97204e-05;5.97204e-05;0;
69;6.08149e-05;0.471351;0.000191719;6.08149e-05;0;0;0;6.08149e-05;6.08149e-05;0;
70;6.19276e-05;0.471379;0.000195237;6.19276e-05;0;0;0;6.19276e-05;6.19276e-05;0;
71;6.30606e-05;0.471407;0.000198819;6.30606e-05;0;0;0;6.30606e-05;6.30606e-05;0;
72;6.4215e-05;0.471436;0.00020247;6.4215e-05;0;0;0;6.4215e-05;6.4215e-05;0;
73;6.53905e-05;0.471466;0.000206188;6.53905e-05;0;0;0;6.53905e-05;6.53905e-05;0;
74;6.65864e-05;0.471496;0.00020997;6.65864e-05;0;0;0;6.65864e-05;6.65864e-05;0;
75;6.78025e-05;0.471526;0.000213817;6.78025e-05;0;0;0;6.78025e-05;6.78025e-05;0;
76;6.90397e-05;0.471557;0.000217731;6.90397e-05;0;0;0;6.90397e-05;6.90397e-05;0;
